ip,port_list,os_type,raw_data,device,label,proc_info
122.246.6.173,"{'https': [443], 'http': [80]}",DD-WRT v24-sp2 (Linux 3.10)," HTTP/1.1 401 Authorization Required\x0D
Server: NWSs\x0D
Date: Sat, 27 Apr 2019 01:35:36 GMT\x0D
Content-Type: text/html\x0D
Content-Length: 0\x0D
Connection: close\x0D
Last-Modified: Sat, 27 Apr 2019 01:30:00 GMT\x0D
X-NWS-UUID-VERIFY: 589031fdf010e5e47af2b3a967619b36\x0D
Err-Code: -8491202\x0D
Err-msg: invalid q-sign-algorithm\x0D
X-NWS-LOG-UUID: 8fee9b76-c524-495b-a40c-53df1ef73dfa\x0D
X-Cache-Lookup: Hit From Upstream\x0D
X-Cache-Lookup: Hit From Upstream\x0D
X-Cache-Lookup: Hit From Inner Cluster\x0D
X-Cache-Lookup: Hit From Upstream\x0D
X-Cache-Lookup: Hit From Inner Cluster\x0D
X-Cache-Lookup: Hit From Upstream\x0D
\x0D
",WAP,21,http 1 1 401 authorization required x0d server nw x0d date sat 27 apr 2019 01 35 36 gmt x0d content type text html x0d content length 0 x0d connection close x0d last modified sat 27 apr 2019 01 30 00 gmt x0d x nw uuid verify 589031fdf010e5e47af2b3a967619b36 x0d err code 8491202 x0d err msg invalid q sign algorithm x0d x nw log uuid 8fee9b76 c524 495b a40c 53df1ef73dfa x0d x cache lookup hit upstream x0d x cache lookup hit upstream x0d x cache lookup hit inner cluster x0d x cache lookup hit upstream x0d x cache lookup hit inner cluster x0d x cache lookup hit upstream x0d x0d
1.1.110.232,"{'unknown': [55600], 'http': [80]}",Tomato 1.27 - 1.28 (Linux 2.4.20)," HTTP/1.1 401 Authorization Required\x0D
Date: Mon, 06 May 2019 15:56:29 GMT\x0D
Server: Apache\x0D
WWW-Authenticate: Digest realm=""Please enter username and password"", nonce=""GyXAJDqIBQA=6b2cb0a9d9a89e8a4a44fed930932a2a54992ff0"", algorithm=MD5, qop=""auth""\x0D
Vary: Accept-Encoding\x0D
Content-Length: 401\x0D
Connection: close\x0D
Content-Type: text/html; charset=iso-8859-1\x0D
\x0D
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>401 Authorization Required</title>
</head><body>
<h1>Authorization Required</h1>
<p>This server could not verify that you
are authorized to access the document
requested.  Either you supplied the wrong
credentials (e.g., bad password), or your
browser doesn't understand how to supply
the credentials required.</p>
</body></html>
",WAP,21,http 1 1 401 authorization required x0d date mon 06 may 2019 15 56 29 gmt x0d server apache x0d www authenticate digest realm please enter username password nonce gyxajdqibqa 6b2cb0a9d9a89e8a4a44fed930932a2a54992ff0 algorithm md5 qop auth x0d vary accept encoding x0d content length 401 x0d connection close x0d content type text html charset iso 8859 1 x0d x0d doctype html public ietf dtd html 2 0 en html head title 401 authorization required title head body h1 authorization required h1 p server could verify authorized access document requested either supplied wrong credential e g bad password browser understand supply credential required p body html
115.125.211.194,{'telnet': [23]},Linksys WRV54G WAP," \x0D
Access Denied! The host does not have access right! Check Host-ACL first.\x0D
",WAP,21,x0d access denied host doe access right check host acl first x0d
1.10.184.127,"{'http': [80], 'ms-wbt-server': [3389]}",Tomato 1.27 - 1.28 (Linux 2.4.20)," HTTP/1.1 200 OK\x0D
Cache-Control: private\x0D
Content-Type: text/html; charset=utf-8\x0D
Server: Microsoft-IIS/8.5\x0D
X-AspNet-Version: 4.0.30319\x0D
X-Powered-By: ASP.NET\x0D
Date: Tue, 07 May 2019 19:54:04 GMT\x0D
Connection: close\x0D
Content-Length: 3641\x0D
\x0D
\x0D
\x0D
<!DOCTYPE html>\x0D
\x0D
<html xmlns=""http://www.w3.org/1999/xhtml"">\x0D
<head><title>\x0D
	Solar Power Plant\x0D
</title><meta charset=""utf-8"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1"" /><link rel=""stylesheet"" href=""Content/bootstrap.min.css"" /><link href=""img/solarPanelIcon.ico"" rel=""shortcut icon"" type=""image/x-icon"" />\x0D
    <script src=""Scripts/jquery.min.js""></script>\x0D
    <script src=""Scripts/bootstrap.min.js""></script>\x0D
    \x0D
</head>\x0D
<body>\x0D
    <form method=""post"" action=""./"" id=""frmDefault"">\x0D
<input type=""hidden"" name=""__VIEWSTATE"" id=""__VIEWSTATE"" value=""ByCsA76K11J0lU+c68mfr2Cp4SFE2bxTzYqj392+EpXJeOaamymuJb7nOmyGNoOwWRAOnu2NSZKvt/68GTEgGgi1fRcPbCJNoFOVj22KoBI="" />\x0D
\x0D
<input type=""hidden"" name=""__VIEWSTATEGENERATOR"" id=""__VIEWSTATEGENERATOR"" value=""CA0B0334"" />\x0D
<input type=""hidden"" name=""__EVENTVALIDATION"" id=""__EVENTVALIDATION"" value=""3AcDiCj41VrmAonkdATPx8kn5ezMGkmke94XL04LE5/qRdu7sKOCFsvYY65ffYtlvb9AEcpVhTnEMkbOGs1M/TDdk3xgr2x+/3j0t0mLtBSl8j8Nh4AwQAdnCFPiwAk3sxhue7wZU5om4cjMmm3HOSet6SXkaFEDhcUSQPoyPYg="" />\x0D
        <div class=""container-fluid"">\x0D
            <div class=""jumbotron"" style=""background-position: center center; ",WAP,21,http 1 1 200 ok x0d cache control private x0d content type text html charset utf 8 x0d server microsoft ii 8 5 x0d x aspnet version 4 0 30319 x0d x powered asp net x0d date tue 07 may 2019 19 54 04 gmt x0d connection close x0d content length 3641 x0d x0d x0d x0d doctype html x0d x0d html xmlns http www w3 org 1999 xhtml x0d head title x0d solar power plant x0d title meta charset utf 8 meta name viewport content width device width initial scale 1 link rel stylesheet href content bootstrap min cs link href img solarpanelicon ico rel shortcut icon type image x icon x0d script src script jquery min j script x0d script src script bootstrap min j script x0d x0d head x0d body x0d form method post action id frmdefault x0d input type hidden name viewstate id viewstate value bycsa76k11j0lu c68mfr2cp4sfe2bxtzyqj392 epxjeoaamymujb7nomygnoowwraonu2nszkvt 68gtegggi1frcpbcjnofovj22kobi x0d x0d input type hidden name viewstategenerator id viewstategenerator value ca0b0334 x0d input type hidden name eventvalidation id eventvalidation value 3acdicj41vrmaonkdatpx8kn5ezmgkmke94xl04le5 qrdu7skocfsvyy65ffytlvb9aecpvhtnemkbogs1m tddk3xgr2x 3j0t0mltbsl8j8nh4awqadncfpiwak3sxhue7wzu5om4cjmmm3hoset6sxkafedhcusqpoypyg x0d div class container fluid x0d div class jumbotron style background position center center
1.9.181.121,{'http': [1050]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Tue, 07 May 2019 13:14:11 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""13745501b4c053994f1c30a263878473"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date tue 07 may 2019 13 14 11 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce 13745501b4c053994f1c30a263878473 uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html
1.9.122.184,{'http': [1050]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Tue, 07 May 2019 08:59:44 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""d8df214f3b82110af74984c01f0341c5"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date tue 07 may 2019 08 59 44 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce d8df214f3b82110af74984c01f0341c5 uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html
1.9.113.111,{'http': [1050]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Tue, 07 May 2019 08:08:37 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""749e68b37ce2dafe8ea92feb75ca194c"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date tue 07 may 2019 08 08 37 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce 749e68b37ce2dafe8ea92feb75ca194c uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html
190.186.22.175,"{'https': [443], 'tcpwrapped': [22, 23, 80], 'upnp': [5431]}",DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1 404 Not Found\x0D
DATE: Thu, 01 Jan 1970 23:52:41 GMT\x0D
Connection: Keep-Alive\x0D
Server: LINUX/2.4 UPnP/1.0 BRCM400/1.0\x0D
Content-Length: 0\x0D
Content-Type: text/xml; charset=""utf-8""\x0D
EXT:\x0D
\x0D
",WAP,21,http 1 1 404 found x0d date thu 01 jan 1970 23 52 41 gmt x0d connection keep alive x0d server linux 2 4 upnp 1 0 brcm400 1 0 x0d content length 0 x0d content type text xml charset utf 8 x0d ext x0d x0d
1.0.254.52,{'http': [88]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Mon, 06 May 2019 22:01:32 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Basic realm="".""\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
	<HTML>
	<HEAD>
	<TITLE>401 Unauthorized</TITLE>
	</HEAD>
	<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
	<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date mon 06 may 2019 22 01 32 gmt x0d cache control cache store x0d www authenticate basic realm x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html
90.71.87.254,{'ftp': [21]},Huawei AP6050DN WAP," 220 FTP service ready.\x0D
",WAP,21,220 ftp service ready x0d
