ip,port_list,os_type,raw_data,device,label,proc_info,proc_os_type
75.166.100.142,{'tram': [4567]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1\x0D
Connection: close\x0D
\x0D
",WAP,21,http 1 1 x0d connection close x0d x0d,dd wrt v24 sp2 linux 2 4 36
188.102.55.2,{'unknown': [8089]},AVM FRITZ!Box (FritzOS 6.03)," HTTP/1.1 404 Not Found\x0D
\x0D
",WAP,21,http 1 1 404 found x0d x0d,avm fritz box fritzos 6 03
61.237.162.69,"{'telnet': [23], 'http': [80, 443]}",Huawei AP6050DN WAP," \x0D HTTP/1.0 400 Bad Request\x0D
Server: ErGuan-S9306\x0D
Date: mon, 29 apr 2019 02:11:22 GMT\x0D
Content-Length: 0\x0D
Connection: Close\x0D
\x0D
 HTTP/1.0 400 Bad Request\x0D
Server: ErGuan-S9306\x0D
Date: mon, 29 apr 2019 02:11:23 GMT\x0D
Content-Length: 0\x0D
Connection: Close\x0D
\x0D
",WAP,21,x0d http 1 0 400 bad request x0d server erguan s9306 x0d date mon 29 apr 2019 02 11 22 gmt x0d content length 0 x0d connection close x0d x0d http 1 0 400 bad request x0d server erguan s9306 x0d date mon 29 apr 2019 02 11 23 gmt x0d content length 0 x0d connection close x0d x0d,huawei ap6050dn wap
49.84.169.63,"{'vcom-tunnel': [8001], 'ssh': [22]}",ASUS RT-N56U WAP (Linux 3.4)," HTTP/1.0 200 OK\x0D
Date: Fri, 26 Apr 2019 04:16:44 GMT\x0D
Content-Length: 0\x0D
\x0D
 SSH-2.0-OpenSSH_6.6.1\x0D
",WAP,21,http 1 0 200 ok x0d date fri 26 apr 2019 04 16 44 gmt x0d content length 0 x0d x0d ssh 2 0 openssh 6 6 1 x0d,asus rt n56u wap linux 3 4
97.68.209.174,"{'http': [8080], 'http-alt': [8000]}",DD-WRT v24-sp2 (Linux 3.10)," HTTP/1.0 200 OK\x0D
Date: Wed, 24 Apr 2019 21:41:27 GMT\x0D
Server: DNVRS-Webs\x0D
ETag: ""0-399-62d""\x0D
Content-Length: 1581\x0D
Content-Type: text/html\x0D
Connection: close\x0D
Last-Modified: Mon, 11 May 2015 05:41:17 GMT\x0D
\x0D
\xEF\xBB\xBF<!doctype html>\x0D
<head>\x0D
	<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />\x0D
	<meta http-equiv=""pragma"" content=""no-cache"">\x0D
	<meta http-equiv=""cache-control"" content=""no-cache, must-revalidate"">\x0D
	<meta http-equiv=""expires"" content=""0"">\x0D
	<title>index</title>	\x0D
	<script>\x0D
		function initIndex() {\x0D
			if (navigator.appName == 'Netscape' || navigator.appName == ""Opera"") {\x0D
				var sysLanguage= navigator.language.toLowerCase();\x0D
			} else {\x0D
				var sysLanguage= navigator.browserLanguage.toLowerCase();\x0D
			}\x0D
			var szLanguage = sysLanguage.substring(0,2);\x0D
			if(szLanguage == ""zh"") {  //\xE4\xB8\xAD\xE6\x96\x87\xE9\x9C\x80\xE8\xA6\x81\xE5\x8C\xBA\xE5\x88\x86\xE7\xAE\x80\xE4\xBD\x93\xE5\x92\x8C\xE7\xB9\x81\xE4\xBD\x93   \x0D
				var arSysLan = sysLanguage.split(""-"");\x0D
				if (arSysLan.length === 2) {\x0D
					var szLanguage = arSysLan[0].toLowerCase() + ""_"" + arSysLan[1].toUpperCase();\x0D
					if(arSysLan[1].toLowerCase() === ""cn"") {\x0D
						$.cookie('language', 'zh');\x0D
					} else {\x0D
						$.cookie('language', szLanguage);\x0D
					}\x0D
				}\x0D
			} else {\x0D
				$.cookie('language', szLanguage);\x0D
			}\x0D
			self.moveTo(0,0);   //\xE4\xBD\xBF\xE5\x85\xB6IE\xE7\xAA\x97\xE5\x8F\xA3\xE6\x9C\x80\xE5\xA4\xA7\xE5\x8C\x96\x0D
			self.resizeTo(screen.availWidth,screen.availHeight); \x0D
			$.cookie('updateTips', 'true');\x0D
			window.location.href = ""doc/page/login.asp"";\x0D
		}\x0D
	</script> \x0D
</head>\x0D
<body>\x0D
	<script type=""text/javascript"" src=""doc/script/LAB.min.js""></script>\x0D
	<script>\x0D
		$LAB\x0D
		.script(""doc/script/jquery-1.7.1.min.js"").wait()\x0D
		.script(""doc/script/jquery.cookie.js"").wait()\x0D
		.script(""doc/script/global_config.js?version="" + new Date()).wait(function () {\x0D
			initIndex();\x0D
		});\x0D
	</script>\x0D
</body>\x0D
</html>",WAP,21,http 1 0 200 ok x0d date wed 24 apr 2019 21 41 27 gmt x0d server dnvrs web x0d etag 0 399 62d x0d content length 1581 x0d content type text html x0d connection close x0d last modified mon 11 may 2015 05 41 17 gmt x0d x0d xef xbb xbf doctype html x0d head x0d meta http equiv content type content text html charset utf 8 x0d meta http equiv pragma content cache x0d meta http equiv cache control content cache must revalidate x0d meta http equiv expires content 0 x0d title index title x0d script x0d function initindex x0d navigator appname netscape navigator appname opera x0d var syslanguage navigator language tolowercase x0d else x0d var syslanguage navigator browserlanguage tolowercase x0d x0d var szlanguage syslanguage substring 0 2 x0d szlanguage zh xe4 xb8 xad xe6 x96 x87 xe9 x9c x80 xe8 xa6 x81 xe5 x8c xba xe5 x88 x86 xe7 xae x80 xe4 xbd x93 xe5 x92 x8c xe7 xb9 x81 xe4 xbd x93 x0d var arsyslan syslanguage split x0d arsyslan length 2 x0d var szlanguage arsyslan 0 tolowercase arsyslan 1 touppercase x0d arsyslan 1 tolowercase cn x0d cookie language zh x0d else x0d cookie language szlanguage x0d x0d x0d else x0d cookie language szlanguage x0d x0d self moveto 0 0 xe4 xbd xbf xe5 x85 xb6ie xe7 xaa x97 xe5 x8f xa3 xe6 x9c x80 xe5 xa4 xa7 xe5 x8c x96 x0d self resizeto screen availwidth screen availheight x0d cookie updatetips true x0d window location href doc page login asp x0d x0d script x0d head x0d body x0d script type text javascript src doc script lab min j script x0d script x0d lab x0d script doc script jquery 1 7 1 min j wait x0d script doc script jquery cookie j wait x0d script doc script global config j version new date wait function x0d initindex x0d x0d script x0d body x0d html,dd wrt v24 sp2 linux 3 10
36.230.69.109,{'http': [8888]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1 200 OK\x0D
Connection: close\x0D
Content-Type: text/html; charset=utf-8\x0D
\x0D
",WAP,21,http 1 1 200 ok x0d connection close x0d content type text html charset utf 8 x0d x0d,dd wrt v24 sp2 linux 2 4 36
1.1.111.137,"{'unknown': [5922], 'http': [55600, 80], 'hosts2-ns': [81]}",Tomato 1.27 - 1.28 (Linux 2.4.20)," HTTP/1.1 401 Authorization Required\x0D
Date: Mon, 06 May 2019 15:48:32 GMT\x0D
Server: Apache\x0D
WWW-Authenticate: Basic realm=""Please enter username and password""\x0D
Vary: Accept-Encoding\x0D
Content-Length: 401\x0D
Connection: close\x0D
Content-Type: text/html; charset=iso-8859-1\x0D
\x0D
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>401 Authorization Required</title>
</head><body>
<h1>Authorization Required</h1>
<p>This server could not verify that you
are authorized to access the document
requested.  Either you supplied the wrong
credentials (e.g., bad password), or your
browser doesn't understand how to supply
the credentials required.</p>
</body></html>
",WAP,21,http 1 1 401 authorization required x0d date mon 06 may 2019 15 48 32 gmt x0d server apache x0d www authenticate basic realm please enter username password x0d vary accept encoding x0d content length 401 x0d connection close x0d content type text html charset iso 8859 1 x0d x0d doctype html public ietf dtd html 2 0 en html head title 401 authorization required title head body h1 authorization required h1 p server could verify authorized access document requested either supplied wrong credential e g bad password browser understand supply credential required p body html,tomato 1 27 1 28 linux 2 4 20
60.49.45.92,{'http': [1050]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Fri, 26 Apr 2019 23:51:29 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""eecbc8dcd40f3439eee77621c71afe0b"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date fri 26 apr 2019 23 51 29 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce eecbc8dcd40f3439eee77621c71afe0b uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html,dd wrt v24 sp2 linux 2 4 36
1.9.223.94,{'ssh': [22]},Cisco Aironet 2600-series WAP (IOS 15.2(2))," SSH-1.99-Cisco-1.25
",WAP,21,ssh 1 99 cisco 1 25,cisco aironet 2600 series wap io 15 2 2
1.0.159.19,"{'http': [90], 'mysql': [3306]}",OpenWrt Kamikaze 7.09 (Linux 2.6.22)," HTTP/1.1 200 OK\x0D
Date: Mon, 06 May 2019 10:48:23 GMT\x0D
Server: Apache/2.2.8 (Win32) PHP/5.2.6\x0D
X-Powered-By: PHP/5.2.6\x0D
Content-Length: 3607\x0D
Connection: close\x0D
Content-Type: text/html\x0D
\x0D
<html>\x0D
<head>\x0D
<title>AppServ Open Project 2.5.10</title>\x0D
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">\x0D
<style>\x0D
<!-- Hide style for old browsers \x0D
BODY          {font-family: MS Sans Serif;font-size=""10""}\x0D
.headd { font-family: Helvetica,Verdana ; font-size: 13pt; text-decoration:  none; }\x0D
.app { font-family: MS Sans Serif ; font-size: 10pt; text-decoration:  none; }\x0D
A:link    {text-decoration: none; color: #0000FF}\x0D
A:visited {text-decoration: none; color: #0000FF}\x0D
A:hover   {text-decoration: none; color: #FF0000}\x0D
A:active  {text-decoration: none; color: #FF0000}\x0D
-->\x0D
</style>\x0D
</head>\x0D
<body bgcolor=""#FFFFFF"">\x0D
<div align=""left""> \x0D
  <table border=""0"" width=""100%"" height=""19"">\x0D
    <tr bgcolor=""#FFD2F8""> \x0D
      <td width=""100%"" height=""19"" valign=""top""><font color=""#000080"">\x0D
	  <span class=""headd""><strong><big>&nbsp; The AppServ Open Project - 2.5.10 for Windows </big></strong></span></font></td>\x0D
    </tr>\x0D
  </table>\x0D
  \x0D
</div>\x0D
<div align=""left""> \x0D
  <table width=""100%"" border=""0"">\x0D
    <tr bgcolor=""#FFF9FD""> \x0D
      <td height=""344""> \x0D
        <blockquote> \x0D
          <p><font color=""#000080""><span\x0D
    class=""headd""><strong><br>\x0D
	            <img src=""appserv/membe",WAP,21,http 1 1 200 ok x0d date mon 06 may 2019 10 48 23 gmt x0d server apache 2 2 8 win32 php 5 2 6 x0d x powered php 5 2 6 x0d content length 3607 x0d connection close x0d content type text html x0d x0d html x0d head x0d title appserv open project 2 5 10 title x0d meta http equiv content type content text html charset utf 8 x0d style x0d hide style old browser x0d body font family sans serif font size 10 x0d headd font family helvetica verdana font size 13pt text decoration none x0d app font family sans serif font size 10pt text decoration none x0d link text decoration none color 0000ff x0d visited text decoration none color 0000ff x0d hover text decoration none color ff0000 x0d active text decoration none color ff0000 x0d x0d style x0d head x0d body bgcolor ffffff x0d div align left x0d table border 0 width 100 height 19 x0d tr bgcolor ffd2f8 x0d td width 100 height 19 valign top font color 000080 x0d span class headd strong big nbsp appserv open project 2 5 10 window big strong span font td x0d tr x0d table x0d x0d div x0d div align left x0d table width 100 border 0 x0d tr bgcolor fff9fd x0d td height 344 x0d blockquote x0d p font color 000080 span x0d class headd strong br x0d img src appserv membe,openwrt kamikaze 7 09 linux 2 6 22
